#Subsystem,Component,File,Purpose
#Note that for duplicates (where file moved components from old to new releases), new version is used and old
#version should be commented out or removed
base,lubbock,ditxla2.pdd,"Lubbock SIR (Port2) physical device driver"
base,lubbock,ditxla3.pdd,"Lubbock Serial Port3 physical device driver"
base,lubbock,e32strt.exe,"Lubbock initialization executable"
base,lubbock,epbmvla.dll,"Lubbock MMC Card Peripheral Bus Controller"
base,lubbock,epbpvla.dll,"Lubbock PC Card Peripheral Bus Controller"
base,lubbock,halla.dll,"Lubbock HAL library"
base,lubbock,midatala.pdd,"Lubbock CF card media physical device driver"
base,lubbock,milfsla.pdd,"Lubbock LFFS media physical device driver"
base,lubbock,vcotla.dll,"Lubbock variant library"
base,lubbock,videodriverexla.dll,"Lubbock video-driver library"
base,lubbock,videodriverla.ldd,"Lubbock video logical device driver "
base,pwrcli,powermgrcli.dll,"User side power and system resource management"
base,pwrcli,shutdownsrv.dll,"Shut down server library"
base,pwrcli,shutdownsrvs.exe,"Shut down server"
base,series5mx1,cakdb1.dll,"Series5mx keyboard look-up tables"
base,series5mx1,cakyb1.dll,"Series5mx keyboard library"
base,series5mx1,caxyb1.dll,"Series5mx digitizer library"
base,series5mx1,dae2b1.ldd,"Series5mx EEPROM logical device driver"
base,series5mx1,datxb11.pdd,"Series5mx SIR physical device driver"
base,series5mx1,datxb12.pdd,"Series5mx Serial Port1 physical device driver"
base,series5mx1,datxb13.pdd,"Series5mx Serial Port2 physical device driver"
base,series5mx1,halb1.dll,"Series5mx HAL library"
base,series5mx1,vawdb1.dll,"Series5mx variant library"
base,siboutil,sibo.dll,""
base,stdlib,estlib.dll,"C standard library"
base,stdlib,redircli.dll,"C standard input/output stream handling (STDIN, STDOUT, STDERR)"
base,stdlib,stdlib.sis,"C standard library installation file"
base,store,estor.dll,"Stream store management"
bluetooth,bluetooth,bt.esk,"Configuration file for Bluetooth"
bluetooth,bluetooth,bt_port1.esk,"Alternate configuration file for Bluetooth"
bluetooth,bluetooth,bt_port2.esk,"Alternate configuration file for Bluetooth"
bluetooth,bluetooth,bt_port3.esk,"Alternate configuration file for Bluetooth"
bluetooth,bluetooth,bluetooth.dll,"Basic types used in general Bluetooth"
bluetooth,bluetooth,bt.prt,"Bluetooth protocol family"
bluetooth,bluetooth,btcomm.csy,"C32 based virtual serial port support (for legacy applications)"
bluetooth,bluetooth,btdevice.dll,"Basic types used in Bluetooth for managing devices and device security"
bluetooth,bluetooth,btextnotifiers.dll,"Basic types used to allow interactions with standard Bluetooth notifiers"
bluetooth,bluetooth,btmanclient.dll,"Bluetooth security manager client interface"
bluetooth,bluetooth,btmanserver.exe,"Bluetooth security manager server side"
bluetooth,bluetooth,btregistry.dll,"Provides storage for details on known/paired Bluetooth devices"
bluetooth,bluetooth,hci.dll,"Interface from Symbian OS device to Bluetooth host controller"
bluetooth,bluetooth,sdp.exe,"Service Discovery Protocol server component"
bluetooth,bluetooth,sdpagent.dll,"Service Discovery Protocol client (for interrogating other devices on their capabilities)"
bluetooth,bluetooth,sdpdatabase.dll,"Provides interface to allow manipulation of SDP elements, and to store records in the local database."
bluetooth,bluetooth,hciproxy.dll,"Interface for the HCI Extension Conduit"
comms-infras,commdb,defaultcdbv2.dat,""
comms-infras,commdb,commdb.dll,"Comms database API"
comms-infras,commdb,t_createdb.exe,"Creates a Comms database (for testing)"
comms-infras,commdb,t_editdb.exe,"Edits a Comms database (for testing)"
comms-infras,configdb,configdb.dll,""
comms-infras,esock,esock.dll,"Socket server implementation"
comms-infras,flogger,flogger.dll,"Log server - client-side"
comms-infras,flogger,flogsvr.exe,"Log server"
comms-infras,nifman,nifman.dll,"Network interface manager"
conn-framework,ec_customservers,agnapi.dll,"Connectivity API to Agenda"
conn-framework,ec_customservers,agndasvr.rsy,"System that allows direct access to an agenda on an Symbian OS machine"
conn-framework,ec_customservers,agndasvr.cs,"Agenda synchronisation custom server plug-in"
conn-framework,ec_customservers,agnsynca.dll,"System that allows direct access to an agenda on an Symbian OS machine"
conn-framework,ec_customservers,backup.dll,"Custom server to enable the PC to talk to the backup server"
conn-framework,ec_customservers,backuppro.dll,"Pipe processor used during backups providing drive snapshot information"
conn-framework,ec_customservers,clipsvr.rsy,"System that allows direct access to an clipboard on an Symbian OS machine"
conn-framework,ec_customservers,ecbrdcst.rsy,"Broadcasts messages to clients"
conn-framework,ec_customservers,ecbrdcst.cs,"Custom server plug-in to broadcast messages to clients"
conn-framework,ec_customservers,eccecsvr.rsy,"Contacts synchronisation"
conn-framework,ec_customservers,eccecsvr.cs,"Contacts synchronisation custom server plug-in"
conn-framework,ec_customservers,emsync.dll,"Email synchroniser interface to messaging"
conn-framework,ec_customservers,epoccap.rsy,"Symbian Connect Capabilities Manager "
conn-framework,ec_customservers,epoccap.cs,"Symbian Connect Capabilities Manager custom server plug-in"
conn-framework,ec_customservers,gencserv.rsy,"Generic custom server "
conn-framework,ec_customservers,jotsync.dll,"Jotter synchronisation"
conn-framework,ec_customservers,msbrowse.dll,"Connectivity interface to messaging"
conn-framework,ec_customservers,plplpt.csy,"PLP printer port"
conn-framework,ec_customservers,rpcs.cs,"Remote procedure function call custom server plug-in"
conn-framework,ec_customservers,scrfs.cs,"Remote file system custom server plug-in"
conn-framework,ec_customservers,syncaid.dll,"Agenda synchronisation"
conn-framework,ec_customservers,wprt.rsy,"Enables printing over PLP"
conn-framework,mrouter,ectcpadapter.dll,"Connectivity TCP adapter, manages custom servers"
conn-framework,mrouter,iserverarc.dll,"The main thread of the iserverarc server"
conn-framework,mrouter,iserverarcexe.exe,"Server to coordinate device-side mRouter operation"
conn-framework,mrouter,mrouteragent.agt,"mRouter agent plug-in for the Comms-infras/Nifman framework"
conn-framework,mrouter,mrouterclient.dll,"Starts/stops mRouter PPP network interface, provides custom-server framework"
conn-framework,mrouter,mrouterclientui.app,"Test UI for from device-side mRouterClient connect/disconnect functionality"
conn-framework,mrouter,mstreamlegacy.dll,""
conn-framework,mrouter,mstreamman.dll,"mRouter stream manager"
conn-framework,mrouter,mstreamtypecore.dll,""
conn-framework,mrouter,mtextutils.dll,"Text handling utilities"
conn-framework,mrouter,tcplistener.dll,"Listens for a TCP connection"
connlink,brdcst,brdcst.dll,"Broadcast server client-side API"
connlink,brdcst,brdsrv.exe,"Broadcast server"
connlink,conndev,plp.esk,"ESock config files"
connlink,conndev,plp.prt,"PLP protocol module"
connlink,conndev,plpcli.dll,"PLP client"
connlink,conndev,plpconfig.dll,"Configures PLP"
connlink,conndev,plpexe.exe,"PLP remote link server"
connlink,conndev,plplog.dll,"PLP debug logger"
connlink,conndev,plpremlink.dll,"Client to PLP remote link server"
connlink,conndev,plprfs.rsy,"PLP remote file system"
connlink,conndev,plpsvr.dll,"PLP server"
#connlink,conndev,plpvariant.dll,"Retrieves machine and drive details"
connlink,conndev,rpcs.rsy,"PLP remote procedure calls"
connlink,plpvariant,plpvariant.dll,"Retrieves machine and drive details"
#connmiscplug-ins,agendasyncfilter,asfilter.dll,"Agenda engine synchronisation filter"
connmiscplug-ins,asfilter,asfilter.dll,"Agenda engine synchronisation filter"
#connmiscplug-ins,irmtm,irc.dll,""
connmiscplug-ins,irmtm,irclientident.rsc,""
connmiscplug-ins,irmtm,irmtmsisstub.sis,""
connmiscplug-ins,irmtm,irobutil.dll,""
#connmiscplug-ins,irmtm,irs.dll,""
connmiscplug-ins,pcmtm,pcmtmsisstub.sis,""
connmiscplug-ins,pcmtm,sync.dll,"Email synchronisation client MTM"
connmiscplug-ins,pcmtm,syns.dll,"Email synchronisation server MTM"
